Site,N,Infection,Neogregarines,Trypanosomatids,Microsporidians,Mites,Elevation_m,lat,long,Date Sampled,coordinates
Aptos,10,0.3,0.1,0.1,0,0.1,174,36.96993,-121.87102,6/28/16,"36.96993, -121.87102"
Berryessa,10,0.3,0.1,0.2,0,0,89,37.37548,-121.86271,6/30/16,"37.37548, -121.86271"
Chadwick,10,0.1,0,0.1,0,0,742,36.99884,-122.05219,6/29/16,"36.99884, -122.05219"
Charles Street,10,0.4,0.1,0.3,0,0,34,37.373139,-122.037596,6/30/16,"37.373139, -122.037596"
Chinatown,10,0.8,0.3,0.5,0,0,39,36.67959,-121.6524,6/28/16,"36.67959, -121.6524"
Coyote Creek,10,0.2,0,0.2,0,0,121,37.31224,-121.84315,6/30/16,"37.31224, -121.84315"
El Valle Verde,10,0.1,0,0.1,0,0,36,36.924696,-121.78704,6/28/16,"36.924696, -121.78704"
Goodwill,3,0.333333333,0,0.333333333,0,0,32,36.666354,-121.805959,6/27/16,"36.666354, -121.805959"
Grange,2,0,0,0,0,0,81,36.97837,-121.9815,6/29/16,"36.97837, -121.9815"
Guadalupe Garden,10,0.2,0,0.2,0,0,19,37.343594,-121.910647,6/30/16,"37.343594, -121.910647"
Homeless,10,0.4,0,0.1,0,0.3,59,36.95707,-122.06215,6/29/16,"36.95707, -122.06215"
La Colina,10,0,0,0,0,0,166,37.23484,-121.81342,6/30/16,"37.23484, -121.81342"
Laguna Seca,10,0.5,0.1,0.3,0,0.1,199,37.21688,-121.76398,6/30/16,"37.21688, -121.76398"
MEarth,9,0.333333333,0,0.333333333,0,0,53,36.54177,-121.89429,6/27/16,"36.54177, -121.89429"
Mi Jardin Verde,10,0,0,0,0,0,50,36.92793,-121.75636,6/28/16,"36.92793, -121.75636"
Pacific Grove,5,0.4,0.2,0.2,0,0,52,36.626641,-121.929042,6/27/16,"36.626641, -121.929042"
Pajaro,10,0.3,0.1,0.1,0,0.1,8,36.900466,-121.750721,6/28/16,"36.900466, -121.750721"
Prusch,10,0.1,0,0.1,0,0,87,37.34179,-121.84608,6/30/16,"37.34179, -121.84608"
Salinas,10,0.6,0.3,0.3,0,0,75,36.706,-121.64327,6/28/16,"36.706, -121.64327"
Senior Center,10,0.3,0,0.3,0,0,7,36.981315,-121.957787,7/11/16,"36.981315, -121.957787"
Trescony,10,0.1,0,0.1,0,0,87,36.96825,-122.04156,6/29/16,"36.96825, -122.04156"